stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
120,Alarichstr. 44,Wuppertal,1246,300,12,288,118,41,76,26.4,41,14.2,23,8,6,2.1,24,8.3
121,Sankt-Martins-Weg 1,Wuppertal,1246,262,4,258,90,34.9,79,30.6,26,10.1,47,18.2,5,1.9,11,4.3
122,Steinweg 20,Wuppertal,1120,235,2,233,80,34.3,69,29.6,33,14.2,32,13.7,3,1.3,16,6.9
123,Carnaper Str. 13,Wuppertal,1331,229,4,225,74,32.9,84,37.3,28,12.4,18,8,8,3.6,13,5.8
124,Thorner Str. 15,Wuppertal,1364,322,1,321,129,40.2,88,27.4,52,16.2,16,5,9,2.8,27,8.4
125,Eichenstr. 59,Wuppertal,1070,272,7,265,88,33.2,92,34.7,48,18.1,17,6.4,7,2.6,13,4.9
126,Eichenstr. 59,Wuppertal,1256,320,2,318,128,40.2,106,33.3,35,11,19,6,6,1.9,24,7.5
127,Eichenstr. 59,Wuppertal,1401,321,1,320,123,38.4,96,30,44,13.8,24,7.5,14,4.4,19,5.9
128,Unterdörnen 1,Wuppertal,1272,243,2,241,75,31.1,75,31.1,24,10,35,14.5,5,2.1,27,11.2
129,Martin-Luther-Str. 6,Wuppertal,1471,324,8,316,113,35.8,108,34.2,49,15.5,23,7.3,4,1.3,19,6
130,Siegesstr. 134,Wuppertal,1500,369,1,368,151,41,107,29.1,45,12.2,34,9.2,10,2.7,21,5.7
131,Heusnerstr. 40,Wuppertal,1282,434,1,433,150,34.6,147,34,79,18.2,26,6,12,2.8,19,4.4
132,Thorner Str. 15,Wuppertal,1442,302,5,297,113,38,81,27.3,49,16.5,28,9.4,8,2.7,18,6.1
133,Rudolfstr. 120,Wuppertal,886,311,6,305,122,40,81,26.6,55,18,29,9.5,5,1.6,13,4.3
134,Rudolfstr. 120,Wuppertal,1015,254,4,250,98,39.2,75,30,36,14.4,18,7.2,4,1.6,19,7.6
135,Hünefeldstr. 54a,Wuppertal,1231,399,4,395,142,36,88,22.3,83,21,47,11.9,7,1.8,28,7.1
136,Wittensteinstr. 80,Wuppertal,1544,355,5,350,104,29.7,97,27.7,53,15.1,47,13.4,12,3.4,37,10.6
137,Hugostr. 50a,Wuppertal,517,113,2,111,28,25.2,55,49.5,7,6.3,9,8.1,6,5.4,6,5.4
138,Hugostr. 50a,Wuppertal,1552,261,8,253,93,36.8,103,40.7,13,5.1,25,9.9,3,1.2,16,6.3
139,Alarichstr. 44,Wuppertal,1353,394,2,392,144,36.7,126,32.1,58,14.8,26,6.6,17,4.3,21,5.4
