stimmbezirk,adresse,stadt,waehler,stimmen,ungueltig,gueltig,spd,spd_rel,cdu,cdu_rel,gruene,gruene_rel,linke,linke_rel,wfw,wfw_rel,sonstige,sonstige_rel
42452,Briefwahlraum 42452,Wuppertal,0,419,4,415,169,40.7,138,33.2,35,8.4,37,8.9,17,4.1,19,4.6
42553,Briefwahlraum 42553,Wuppertal,0,502,4,498,198,39.8,172,34.5,51,10.2,29,5.8,24,4.8,24,4.8
42654,Briefwahlraum 42654,Wuppertal,0,565,4,561,217,38.7,208,37.1,66,11.8,34,6.1,16,2.9,20,3.6
42755,Briefwahlraum 42755,Wuppertal,0,724,4,720,267,37.1,281,39,75,10.4,50,6.9,25,3.5,22,3.1
42856,Briefwahlraum 42856,Wuppertal,0,549,3,546,154,28.2,284,52,61,11.2,22,4,7,1.3,18,3.3
42956,Briefwahlraum 42956,Wuppertal,0,497,0,497,215,43.3,184,37,49,9.9,20,4,12,2.4,17,3.4
43061,Briefwahlraum 43061,Wuppertal,0,358,3,355,126,35.5,130,36.6,31,8.7,31,8.7,12,3.4,25,7
43162,Briefwahlraum 43162,Wuppertal,0,374,0,374,189,50.5,116,31,24,6.4,21,5.6,9,2.4,15,4
43263,Briefwahlraum 43263,Wuppertal,0,491,2,489,197,40.3,187,38.2,34,7,31,6.3,20,4.1,20,4.1
43364,Briefwahlraum 43364,Wuppertal,0,497,1,496,140,28.2,237,47.8,44,8.9,19,3.8,36,7.3,20,4
43464,Briefwahlraum 43464,Wuppertal,0,412,4,408,168,41.2,163,40,34,8.3,24,5.9,9,2.2,10,2.5
43571,Briefwahlraum 43571,Wuppertal,0,427,0,427,160,37.5,198,46.4,39,9.1,14,3.3,6,1.4,10,2.3
43671,Briefwahlraum 43671,Wuppertal,0,465,1,464,158,34,232,50,45,9.7,11,2.4,9,1.9,9,1.9
43772,Briefwahlraum 43772,Wuppertal,0,419,2,417,147,35.2,176,42.2,43,10.3,20,4.8,8,1.9,23,5.5
43881,Briefwahlraum 43881,Wuppertal,0,511,6,505,180,35.6,229,45.4,30,5.9,29,5.7,18,3.6,19,3.8
43982,Briefwahlraum 43982,Wuppertal,0,413,2,411,156,38,178,43.3,32,7.8,28,6.8,5,1.2,12,2.9
44082,Briefwahlraum 44082,Wuppertal,0,534,7,527,198,37.6,251,47.6,32,6.1,30,5.7,7,1.3,9,1.7
44191,Briefwahlraum 44191,Wuppertal,0,672,8,664,235,35.4,290,43.7,56,8.4,32,4.8,27,4.1,24,3.6
44292,Briefwahlraum 44292,Wuppertal,0,498,6,492,181,36.8,232,47.1,30,6.1,25,5.1,12,2.4,12,2.4
44392,Briefwahlraum 44392,Wuppertal,0,438,3,435,129,29.7,220,50.6,54,12.4,15,3.5,8,1.8,9,2.1
#
#
# Werte von
# https://wahlen.wuppertal.de/ob2015/05124000/html5/Oberbuergermeisterwahl_Gemeinde_Stadt_Wuppertal.html
#
#
